NOME,ID,ACTIVE,APP_STATUS,UPDATE_STATUS,UPDATE
RM Calçados ,br.com.futura.ecommerce.ecommercermcalcados,0,Suspenso pelo Google,null,6 de out. de 2020
Arita Distribuidora ,br.com.wmfutura.arita,1,Removido pelo Google,null,21 de ago. de 2020
Atacarejo da Moda ,br.com.wmfutura.ecommmerceatacarejodamoda,11,Removido pelo Google,null,24 de ago. de 2020
Aviamentos São Paulo ,br.com.wmfutura.saopauloaviamentos,15,Removido pelo Google,null,11 de mar. de 2021
Big Lua ,br.com.wmfutura.ecommercebiglua,1,Removido pelo Google,null,20 de ago. de 2020
CM Atacadão ,br.com.futura.ecommerce.android.cmatacadao,0,Removido pelo Google,null,26 de nov. de 2020
CaireStore ,br.com.futura.ecommerce.ecommercecriresture,0,Removido pelo Google,null,6 de out. de 2020
Comercial Martins ,br.com.wmfutura.comercialmartins,1,Removido pelo Google,null,19 de ago. de 2020
Comercial Santa Efigenia ,br.com.wmfutura.ecommercevertebracomercial,13,Removido pelo Google,null,19 de ago. de 2020
Comercial Vepal ,br.com.wmfutura.ecommercevepal,0,Removido pelo Google,null,24 de nov. de 2020
Creative Mix ,br.com.wmfutura.creativemix,0,Removido pelo Google,null,19 de ago. de 2020
DRE Distribuidora ,br.com.wmfutura.dredistribuidora,1,Removido pelo Google,null,17 de ago. de 2020
Deusa Bijoux ,br.com.futura.ecommerce.android.deusabijoux,3,Removido pelo Google,null,25 de nov. de 2020
Face Fashion ,br.com.wmfutura.facefashion,5,Removido pelo Google,null,19 de ago. de 2020
Freeshop ,br.com.futura.ecommerce.android.freeshop,14,Removido pelo Google,null,25 de nov. de 2020
GVK Distribuidora ,br.com.wmfutura.gvkdistribuidora,0,Removido pelo Google,null,17 de ago. de 2020
Hanate ,br.com.wmfutura.hanate,7,Removido pelo Google,null,17 de ago. de 2020
Hand Market ,br.com.wmfutura.handmarket,1,Removido pelo Google,null,17 de ago. de 2020
Horeca Comercio ,br.com.wmfutura.ecommercehoreca,0,Removido pelo Google,null,21 de ago. de 2020
Info News ,br.com.wmfutura.infonews,0,Removido pelo Google,null,24 de ago. de 2020
JA Softwares ,br.com.wmfutura.jasoftwares,2,Removido pelo Google,null,19 de ago. de 2020
JP Ecommerce ,br.com.futura.ecommerce.jpecommerce,3,Removido pelo Google,null,7 de jun. de 2021
Jack ,br.com.wmfutura.jackcosmeticos,0,Removido pelo Google,null,17 de ago. de 2020
La Bella ,br.com.wmfutura.labella,1,Removido pelo Google,null,18 de ago. de 2020
Lhos ,br.com.futura.ecommerce.android.ecommercelhos,0,Removido pelo Google,null,5 de fev. de 2021
Mega Chens ,br.com.wmfutura.megachens,1,Removido pelo Google,null,19 de ago. de 2020
Missa Acessórios ,br.com.futura.ecommerce.ecommercemissaacessorios,7,Removido pelo Google,null,27 de out. de 2020
MuitoMais ,br.com.wmfutura.muitomais,0,Removido pelo Google,null,24 de ago. de 2020
Nova Premier Distribuição ,br.com.futura.ecommerce.android.premierdistribuidora,5,Removido pelo Google,null,25 de nov. de 2020
O Rei da Pesca ,br.com.wmfutura.oreidapesca,12,Removido pelo Google,null,24 de ago. de 2020
PlastCenter ,br.com.wmfutura.plastcenter,18,Removido pelo Google,null,24 de ago. de 2020
Ponto 10 ,br.com.wmfutura.ecommerceponto10,10,Removido pelo Google,null,21 de ago. de 2020
RM Calçados ,br.com.futura.ecommerce.ecommercermcalcados2,0,Removido pelo Google,null,27 de out. de 2020
Ryubo ,br.com.wmfutura.ryubo,2,Removido pelo Google,null,18 de ago. de 2020
ShopLar ,br.com.futura.ecommerce.shoplar,7,Removido pelo Google,null,14 de jun. de 2021
Spetacolo ,br.com.futura.ecommerce.ecommercespetacolo,0,Removido pelo Google,null,6 de out. de 2020
WL Celulares ,br.com.futura.ecommerce.ecommercewlcelulares,0,Removido pelo Google,null,6 de out. de 2020
Magazine ,Matturi,0,Rascunho,null,21 de ago. de 2020
ChpNet ,br.com.wmfutura.chpnet,2,Produção,Pronta para revisão,5 de abr. de 2024
25 Importadores ,br.com.wmfutura.vinteecincoimportadores,4,Produção,null,3 de fev. de 2022
Albatroz ,br.com.wmfutura.albatroz,3,Produção,null,15 de jan. de 2024
BTO ,br.com.wmfutura.boquetao,3,Produção,null,14 de fev. de 2024
BeloLar ,br.com.wmfutura.belolar,1,Produção,null,15 de jan. de 2024
Boom Import ,br.com.wmfutura.ecommerceboomimport,3,Produção,null,17 de jan. de 2024
Bradispel ,br.com.futura.ecommerce.ecommercebradispel,9,Produção,null,15 de jan. de 2024
Camargo & Barros ,br.com.futura.ecommerce.android.camargoebarros,880,Produção,null,18 de jan. de 2024
Castro Atacadista ,br.com.wmfutura.ecommercecastroatacadista,13,Produção,null,15 de jan. de 2024
Center Tudo ,br.com.wmfutura.centertudo,12,Produção,null,17 de ago. de 2020
Chocolates Tnuva ,br.com.wmfutura.chocolatestnuva,7,Produção,null,18 de jan. de 2024
Coinco Eletronica ,br.com.wmfutura.coinco,6,Produção,null,23 de ago. de 2023
Comercial Michael Judi ,br.com.futura.ecommerce.mjimportadora,3,Produção,null,16 de jan. de 2024
Copacabana ,br.com.futura.ecommerce.ecommercecopacabana,4,Produção,null,6 de out. de 2020
Dellumax ,br.com.wmfutura.dellumax,9,Produção,null,17 de ago. de 2020
E-Commerce Mahex ,br.com.wmfutura.mahex,0,Produção,null,16 de jan. de 2024
Emilar ,br.com.wmfutura.emilar,5,Produção,null,17 de ago. de 2020
FBG Comercial ,br.com.wmfutura.fbgcomercial,835,Produção,null,22 de jan. de 2024
Fabiana Brinquedos ,br.com.wmfutura.fabianabrinquedos,31,Produção,null,2 de out. de 2023
Fernanda Pontilho ,br.com.wmfutura.fernandapontilho,11,Produção,null,30 de out. de 2023
Gladys Religiosos ,br.com.wmfutura.gladysreligiosos,89,Produção,null,28 de set. de 2021
Global Calçados ,br.com.futura.ecommerce.ecommerceglobalbras,9,Produção,null,13 de nov. de 2020
Goshen ,br.com.wmfutura.ecommercegoshen,29,Produção,null,7 de ago. de 2023
Hagra ,br.com.wmfutura.hagra,0,Produção,null,19 de ago. de 2020
Himalaia Decorações ,br.com.wmfutura.himalaiadecoracoes,5,Produção,null,17 de jan. de 2024
JD Imports ,br.com.wmfutura.ecommercejdeimports,1,Produção,null,21 de ago. de 2020
Lar & Cia ,br.com.wmfutura.ecommercelarecia,2,Produção,null,17 de jan. de 2024
LiAngela ,br.com.futura.ecommerce.ecommerceliangela,0,Produção,null,6 de out. de 2020
Lojas Aqui Tem Papelaria ,br.com.futura.ecommerce.lojasaquitempapelaria,13,Produção,null,1 de set. de 2023
Lojão Popular ,br.com.wmfutura.ecommercelojaopopular,6,Produção,null,18 de jan. de 2024
Macrovida ,br.com.futura.ecommerce.android.ecommercemacrovida,70,Produção,null,18 de jan. de 2024
Mafema ,br.com.wmfutura.ecommercemafema,10,Produção,null,16 de jan. de 2024
Maxtill ,br.com.futura.ecommerce.exxuma,127,Produção,null,29 de ago. de 2023
Nipon ,br.com.futura.ecommerce.android.nipon,10,Produção,null,13 de jun. de 2023
Papelaria Capricho ,br.com.futura.ecommerce.papelariacapricho,235,Produção,null,16 de jan. de 2024
Papelaria Encantada ,br.com.wmfutura.encantada,1,Produção,null,17 de ago. de 2020
Papelaria Futura ,br.com.futura.ecommerce.android.ecommerceagpapelaria,2,Produção,null,5 de fev. de 2021
Papelarte ,br.com.futura.ecommerce.ecommercepapelarte,11,Produção,null,16 de jan. de 2024
Pappel e Cia ,br.com.futura.ecommerce.ecommercepappelcia,47,Produção,null,16 de jan. de 2024
Pet Shop 25 ,br.com.wmfutura.sooculoscomercio,1,Produção,null,24 de ago. de 2023
Real Brooklin ,br.com.wmfutura.ecommerceRealBrooklin,0,Produção,null,4 de out. de 2023
Renovar ,br.com.futura.ecommerce.android.ecommercerenovar,56,Produção,null,6 de abr. de 2021
Reynal ,br.com.wmfutura.reynal,2,Produção,null,12 de jan. de 2024
Siga Import ,br.com.wmfutura.sigaimport,0,Produção,null,19 de ago. de 2020
Sumexr ,br.com.wmfutura.ecommercesumexr,58,Produção,null,29 de ago. de 2023
Tesouro Direto ,br.com.wmfutura.tesourodireto,6,Produção,null,18 de ago. de 2020
Toda Essência ,br.com.futura.ecommerce.android.phytonessence,32,Produção,null,25 de nov. de 2020
Total Garden ,br.com.wmfutura.totalgarden,4,Produção,null,16 de jan. de 2024
Universo Tentação ,br.com.wmfutura.universotentacao,4,Produção,null,15 de jan. de 2024
Vantaj Albatroz ,br.com.wmfutura.vantajalbatroz,206,Produção,null,16 de jan. de 2024
Yellow Distribuidora ,br.com.wmfutura.ecommerceyellow,5,Produção,null,21 de ago. de 2020
ZL Bebidas ,br.com.wmfutura.zlbebidas,6,Produção,null,17 de jan. de 2024
Zy Makeup ,br.com.futura.ecommerce.android.ecommercezymakeup,0,Produção,null,17 de jan. de 2024
Adoleta ,br.com.wmfutura.adoleta,2,Não publicado,null,7 de jun. de 2021
Livraria Fonomag ,br.com.wmfutura.livrariafonomag,55,Não publicado,null,28 de fev. de 2024
Nino e Nunes ,br.com.wmfutura.orjunior,0,Não publicado,null,7 de jun. de 2021
Ultraforte ,br.com.wmfutura.ultraforte,0,Não publicado,null,7 de jun. de 2021
